,lat,lon,total_score,geometry
59000,37.522999999999996,126.884,2.1619789231064637,POINT (945568.1460453516 1947256.231081318)
74525,37.552,126.89399999999999,2.222473296197764,POINT (946472.5229904834 1950467.895342357)
58465,37.522,126.884,2.2420109069879675,POINT (945567.4195197007 1947145.286344093)
58999,37.522999999999996,126.883,2.256831131935439,POINT (945479.7817563834 1947256.810214389)
75060,37.553,126.89399999999999,2.268709611462868,POINT (946473.2382114618 1950578.840584495)
30884,37.47,127.12299999999999,2.3374394784349954,POINT (966663.5518511619 1941264.772002362)
58464,37.522,126.883,2.342545997921498,POINT (945479.0540511801 1947145.865471732)
82729,37.567,127.073,2.354312241584021,POINT (962291.0967742427 1952045.191730496)
74523,37.552,126.892,2.4040359976550376,POINT (946295.8629312791 1950469.036067791)
30885,37.47,127.124,2.4094973432180007,POINT (966751.9777767149 1941264.418510938)
83265,37.568,127.074,2.4175214207012434,POINT (962379.9113836371 1952155.735635726)
77954,37.558,127.113,2.4343566358475037,POINT (965819.4498057526 1951031.392377554)
84414,37.56999999999999,127.15299999999999,2.4440494112543747,POINT (969357.2506753891 1952348.930615196)
75058,37.553,126.892,2.468051152774318,POINT (946296.58051297 1950579.981320581)
77955,37.558,127.11399999999999,2.4764427955546338,POINT (965907.7719880946 1951031.02919685)
61320,37.526999999999994,127.064,2.5594646972686697,POINT (961475.7114495877 1947611.066772569)
96380,37.592999999999996,126.814,2.5859627021334437,POINT (939439.3177066051 1955065.245140479)
85729,37.57299999999999,126.863,2.700820688716362,POINT (943750.0818037122 1952815.856544918)
85194,37.571999999999996,126.863,2.7968706074045,POINT (943749.3296475742 1952704.910761562)
96378,37.592999999999996,126.812,2.839802394917054,POINT (939262.7537618263 1955066.536720664)
86023,37.57299999999999,127.157,2.9468959878705436,POINT (969711.6972589365 1952680.467248105)
47854,37.501999999999995,126.973,3.0396743003112023,POINT (953419.5017609902 1944878.624688596)
61851,37.528,127.05999999999999,3.1448019032583248,POINT (961122.7948001719 1947723.656611222)
47856,37.501999999999995,126.975,3.1878735338794093,POINT (953596.2791411097 1944877.636661197)
26514,37.461999999999996,127.033,3.2196281158671365,POINT (958700.8062493738 1940412.887414898)
94240,37.589,126.814,3.236045953455148,POINT (939436.0762499026 1954621.459497815)
26517,37.461999999999996,127.036,3.3474450001706932,POINT (958966.1130914419 1940411.57634263)
94239,37.589,126.81299999999999,3.351986173318492,POINT (939347.7895541108 1954622.104793862)
61270,37.526999999999994,127.014,3.498758027665999,POINT (957057.7622630169 1947632.719978325)
42554,37.492,127.023,3.5179539062947223,POINT (957833.3095100279 1943745.615200348)
42555,37.492,127.024,3.5373295308500183,POINT (957921.709813331 1943745.167721811)
43089,37.492999999999995,127.023,3.5741276130407815,POINT (957833.8716970059 1943856.558707345)
58415,37.522,126.83399999999999,3.5883543061233008,POINT (941149.1406522874 1947175.393600705)
84418,37.56999999999999,127.157,3.589967832428786,POINT (969710.4823148923 1952347.633737312)
43090,37.492999999999995,127.024,3.5942144765794346,POINT (957922.2708216439 1943856.111224593)
27589,37.464,127.038,3.598764483662993,POINT (959144.0725806799 1940632.592774882)
58414,37.522,126.833,3.674505986279402,POINT (941060.7749586886 1947176.019703039)
61268,37.526999999999994,127.012,3.733205257224263,POINT (956881.0441241607 1947633.634958558)
45294,37.497,127.088,3.7369193275412966,POINT (963581.7505391641 1944273.19896613)
85740,37.57299999999999,126.874,3.8744351257857668,POINT (944721.4405676369 1952809.328014889)
60020,37.525,126.83399999999999,4.149275682814983,POINT (941151.4972183636 1947508.228715185)
84670,37.571,126.874,4.221529034845417,POINT (944719.9622523015 1952587.436588395)
60019,37.525,126.833,4.27521720728413,POINT (941063.1350635993 1947508.854835131)
85737,37.57299999999999,126.871,4.608805819942499,POINT (944456.5245938329 1952811.097243847)
53739,37.513,126.973,4.64544676509055,POINT (953426.3364392226 1946099.008788002)
53740,37.513,126.97399999999999,4.814125213178632,POINT (953514.7121610822 1946098.514253547)
51064,37.507999999999996,126.973,4.902705018773021,POINT (953423.2295537993 1945544.288462759)
84667,37.571,126.871,4.968313300573255,POINT (944455.0391931261 1952589.205784397)
51066,37.507999999999996,126.975,5.120291918542785,POINT (953599.9927855867 1945543.300379624)
